gen	lnl	s0	s1	tau	alpha_r_library_1	alpha_r_library_2	alpha_r_library_3	alpha_r_library_4	spike_probability	inactive_mean	inactive_variance	active_mean_component1	active_mean_component2	active_variance_component1	active_variance_component2	weight_active	weight_within_active_component_1	weight_within_active_component_2
5660	-10675.6622	-1.9679	-0.3512	0.8186	20.1124	13.0936	15.7469	11.9135	0.113	-1.8888	1.7866	2.622	7.7339	1.7866	1.7866	0.7321	0.9953	0.0047
5670	-10700.4737	-1.9873	-0.3539	0.8561	19.7569	13.0936	15.7469	11.9135	0.1348	-1.8507	1.7965	2.6109	7.2069	1.7965	1.7965	0.7317	0.9922	0.0078
5680	-10699.9713	-1.9876	-0.3539	0.8238	18.3628	13.0936	17.0257	11.9135	0.1256	-1.8636	1.7237	2.643	7.5091	1.7237	1.7237	0.7283	0.994	0.006
5690	-10699.343	-2.0295	-0.3539	0.8558	18.3628	13.0936	17.0257	14.0445	0.138	-1.7658	1.7259	2.6529	7.4542	1.7259	1.7259	0.7122	0.9905	0.0095
5700	-10706.7221	-1.9921	-0.3539	0.8244	19.2708	13.56	15.6399	13.8429	0.1168	-1.8487	1.729	2.6792	7.3402	1.729	1.729	0.7191	0.9916	0.0084
5710	-10593.5503	-2.0004	-0.357	0.8508	19.2708	13.56	15.6776	14.0408	0.138	-1.8965	1.7669	2.6313	7.2383	1.7669	1.7669	0.7224	0.9962	0.0038
5720	-10650.057	-2.0462	-0.3632	0.8858	19.2708	13.56	15.6795	13.2036	0.1213	-1.8807	1.7255	2.6439	7.1765	1.7255	1.7255	0.7172	0.9923	0.0077
5730	-10653.0645	-2.0187	-0.3593	0.8627	17.5669	13.56	15.6795	13.2036	0.0946	-1.9097	1.8166	2.645	6.308	1.8166	1.8166	0.7343	0.9907	0.0093
5740	-10553.737	-2.0138	-0.3572	0.85	17.5669	13.56	15.6795	13.2036	0.1125	-1.8844	1.8282	2.6088	6.4361	1.8282	1.8282	0.7272	0.9896	0.0104
5750	-10500.6862	-2.0276	-0.3572	0.8626	17.9098	12.6696	15.6795	13.2036	0.0983	-1.8873	1.8566	2.6158	7.0017	1.8566	1.8566	0.7344	0.989	0.011
